dataset,task,algo_model,rank,bad,good,not_care,further_analysis,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman,est_smaller_than_true
job,card,aimai_none,1,5,9,3,0,0.5046***,0.5284***,False
job,card,llm_meta-llama-Llama-3.1-8B,2,3,11,3,0,0.4876***,0.4359***,True
job,card,llm_meta-llama-Llama-3.2-1B,2,3,11,3,0,0.4876***,0.3919***,True
job,card,llm_meta-llama-Llama-3.2-3B,2,3,11,3,0,0.4876***,0.3929***,True
job,card,llm_Qwen-Qwen3-Embedding-0.6B,5,3,11,3,0,0.4874***,0.3945***,True
job,card,llm_Qwen-Qwen3-Embedding-4B,5,3,11,3,0,0.4874***,0.3457***,True
job,card,llm_Qwen-Qwen3-Embedding-8B,5,3,11,2,1,0.4874***,0.4347***,True
job,card,llm_answerdotai-ModernBERT-base,8,3,11,2,1,0.4810***,0.3584***,True
job,card,llm_google-gemma-3-1b-pt,9,3,11,3,0,0.4794***,0.3915***,True
job,card,llm_google-gemma-3-12b-pt,10,3,11,3,0,0.4790***,0.3932***,True
job,card,llm_google-gemma-3-4b-pt,10,3,11,2,1,0.4790***,0.4144***,True
job,card,llm_bert-base-uncased,12,3,11,3,0,0.4546***,0.3237***,True
job,card,llm_sentence-transformers-all-MiniLM-L6-v2,12,3,11,3,0,0.4546***,0.3192***,True
job,card,bao_none,14,13,4,0,0,0.0090,-0.4811***,True
job,card,e2e_cost_none,15,15,1,0,1,-0.2037***,-0.2666***,True
job,card,qf_none,16,16,0,0,1,-0.3558***,-0.1284***,False
job,time,bao_none,1,12,0,5,0,0.5091***,0.3622**,True
job,time,aimai_none,2,1,7,9,0,0.4471***,-0.1890,True
job,time,llm_bert-base-uncased,3,8,0,9,0,0.3576**,0.2698*,True
job,time,llm_sentence-transformers-all-MiniLM-L6-v2,3,8,0,9,0,0.3576**,0.3131**,True
job,time,llm_google-gemma-3-12b-pt,5,8,0,9,0,0.3569**,0.3085**,True
job,time,llm_google-gemma-3-1b-pt,5,8,0,9,0,0.3569**,0.2991*,True
job,time,llm_google-gemma-3-4b-pt,5,8,0,9,0,0.3569**,0.2805*,True
job,time,llm_Qwen-Qwen3-Embedding-0.6B,8,8,0,9,0,0.3555**,0.2866*,True
job,time,llm_Qwen-Qwen3-Embedding-4B,8,8,0,9,0,0.3555**,0.3541**,True
job,time,llm_Qwen-Qwen3-Embedding-8B,8,8,0,9,0,0.3555**,0.2881*,True
job,time,llm_answerdotai-ModernBERT-base,11,8,0,9,0,0.3547**,0.2694*,True
job,time,llm_meta-llama-Llama-3.1-8B,12,8,0,9,0,0.3533**,0.3569**,False
job,time,llm_meta-llama-Llama-3.2-1B,12,8,0,9,0,0.3533**,0.2702*,True
job,time,llm_meta-llama-Llama-3.2-3B,12,8,0,9,0,0.3533**,0.2892*,True
job,time,qf_none,15,8,0,9,0,-0.0962,-0.1450,True
job,time,e2e_cost_none,16,9,0,8,0,-0.3580**,0.0191,False
job_full,time,llm_meta-llama-Llama-3.2-3B,1,7,0,10,0,0.3508***,0.0527,True
job_full,time,llm_meta-llama-Llama-3.1-8B,2,7,0,10,0,0.3507***,0.0342,True
job_full,time,llm_meta-llama-Llama-3.2-1B,2,7,0,10,0,0.3507***,0.2733**,True
job_full,time,llm_Qwen-Qwen3-Embedding-0.6B,4,8,0,9,0,0.3440***,0.1614,True
job_full,time,llm_Qwen-Qwen3-Embedding-4B,4,8,0,9,0,0.3440***,0.1282,True
job_full,time,llm_Qwen-Qwen3-Embedding-8B,4,8,0,9,0,0.3440***,0.3403***,True
job_full,time,llm_google-gemma-3-12b-pt,7,8,0,9,0,0.3196***,0.1365,True
job_full,time,llm_google-gemma-3-4b-pt,7,8,0,9,0,0.3196***,0.2692**,True
job_full,time,llm_answerdotai-ModernBERT-base,9,8,0,9,0,0.3193***,0.0880,True
job_full,time,llm_google-gemma-3-1b-pt,9,8,0,9,0,0.3193***,0.0967,True
job_full,time,llm_bert-base-uncased,11,8,0,9,0,0.2794**,0.0748,True
job_full,time,llm_sentence-transformers-all-MiniLM-L6-v2,11,8,0,8,1,0.2794**,0.0840,True
job_full,time,bao_none,13,7,2,8,0,0.2698**,0.3129***,False
job_full,time,aimai_none,14,5,1,11,0,0.0225,-0.0752,True
job_full,time,e2e_cost_none,15,5,0,12,0,-0.0339,-0.0959,True
job_full,time,qf_none,16,5,0,11,1,-0.3138***,0.6219***,False
stats,card,llm_meta-llama-Llama-3.1-8B,1,2,13,1,1,0.4799***,0.3067***,True
stats,card,llm_meta-llama-Llama-3.2-1B,1,2,13,2,0,0.4799***,0.2706***,True
stats,card,llm_meta-llama-Llama-3.2-3B,1,2,13,2,0,0.4799***,0.2716***,True
stats,card,llm_Qwen-Qwen3-Embedding-0.6B,4,2,13,1,1,0.4771***,0.2830***,True
