algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
bao_none,0,0,0,0,0,17,0,0,-0.0028,0.3373***
e2e_cost_none,0,0,0,0,0,17,0,0,0.1669*,0.1360
llm_Qwen-Qwen3-Embedding-0.6B,0,0,0,0,0,17,0,0,0.1299,0.1420
llm_Qwen-Qwen3-Embedding-4B,0,0,0,0,0,17,0,0,0.1299,0.1553
llm_Qwen-Qwen3-Embedding-8B,0,0,0,0,0,17,0,0,0.1299,0.1390
llm_answerdotai-ModernBERT-base,0,0,0,0,0,17,0,0,0.1050,0.1284
llm_bert-base-uncased,0,0,0,0,0,17,0,0,0.0863,0.0881
llm_google-gemma-3-12b-pt,0,0,0,0,0,17,0,0,0.1029,0.1031
llm_google-gemma-3-1b-pt,0,0,0,0,0,17,0,0,0.1030,0.0978
llm_google-gemma-3-4b-pt,0,0,0,0,0,17,0,0,0.1030,0.1060
llm_meta-llama-Llama-3.1-8B,0,0,0,0,0,17,0,0,0.1316,0.1388
llm_meta-llama-Llama-3.2-1B,0,0,0,0,0,17,0,0,0.1316,0.1343
llm_meta-llama-Llama-3.2-3B,0,0,0,0,0,17,0,0,0.1317,0.1316
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,0,0,0,17,0,0,0.0863,0.0906
qf_none,0,0,0,0,0,17,0,0,0.4900***,0.1288
