label,time,error,filtered
aimai-nan,653374.0,-1.2243389280553458,False
bao-nan,3315196.0,0.7786118437120101,False
e2e-nan,15849574.0,1.1227200899348477,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,-1.1270178074473716,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,-1.0566759503159222,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,-1.2699508426456387,False
llm-answerdotai-ModernBERT-base,5418591.52,-0.8360731491259721,False
llm-bert-base-uncased,3510071.27,-0.5715315893004717,False
llm-google-gemma-3-12b-pt,28002882.68,-1.7886236531508866,False
llm-google-gemma-3-1b-pt,7785774.7,-1.8115239735580864,False
llm-google-gemma-3-4b-pt,12751851.85,-1.7145642575996334,False
llm-meta-llama-Llama-3.1-8B,18589694.83,-1.7585881061699553,False
llm-meta-llama-Llama-3.2-1B,5482397.94,-1.7001551664025902,False
llm-meta-llama-Llama-3.2-3B,10595063.65,-1.7810619878462182,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,-0.6573844700289615,False
qf-nan,64124019.99999999,1.3155373166184994,False
mscn-nan,232579206.0,-0.856776260216912,False
alece-nan,67323868.0,0.6121439240528748,False
price-nan,69512582.0,-0.856776260216912,False
postgres-nan,653374.0,0.0,False
