metric,error,true_label,embedding,type_number
num_tables,-2.73e+11,0.3422***,0.0895***,3
num_columns,0.3631***,0.3887***,0.1018***,2
num_joins,3.52e+11,0.7215***,0.1156***,3
num_filters,0.1153***,-0.3828***,-0.2912***,8
longest_path_len,0.0321,-0.0828***,-0.2566***,6
num_nodes,-0.0799,0.1779***,-0.0706***,4
join_tree_diameter,-0.0834,0.6456***,0.0140,4
num_blocking_ops,-0.0199,0.3981***,0.2474***,3
num_nested_loop,3.07e+11,-0.5593***,-0.1388***,6
max_est_join_input_rows,0.7552***,0.7808***,0.1954***,2
sum_est_join_input_rows,-1.153***,0.7876***,0.2012***,2
num_highly_selective_filters,-0.092,-0.7295***,0.1435***,5
log_filter_selectivity_product,-0.2979***,0.8385***,0.1445***,2
optimizer_est_cost_root,0.2882***,0.8387***,0.2464***,2
log_max_est_rows,0.8178*,0.9480***,0.1950***,3
log_sum_est_rows,-1.1226**,0.9516***,0.1807***,3
max_log_card_error,0.6991***,-0.0925***,0.1236***,7
