metric,error,true_label,embedding,type_number
num_tables,-25.0244***,0.2871**,-0.2003*,8
num_columns,2.3716,0.4069***,-0.0356,4
num_joins,10.3854,0.3060***,-0.0500,4
num_filters,0.4143,0.0176,-0.2931**,6
longest_path_len,-0.6881,0.2631**,-0.1751,6
num_nodes,4.3298,0.2614**,-0.1951*,6
join_tree_diameter,1.4559,0.2202*,-0.0183,6
num_blocking_ops,1.7683,-0.1523,-0.1371,6
num_nested_loop,20.6575,0.1608,-0.2090*,6
max_est_join_input_rows,19.4887*,0.2704**,0.2988**,6
sum_est_join_input_rows,-18.6974,0.3250***,0.2939**,4
num_highly_selective_filters,-7.6691*,0.1322,-0.2297*,6
log_filter_selectivity_product,-4.2713,-0.0551,0.3278***,5
optimizer_est_cost_root,0.0161,0.4292***,0.2575**,4
log_max_est_rows,5.9556,0.1989*,0.3346***,5
log_sum_est_rows,-9.2708,0.2467**,0.3173***,5
max_log_card_error,-1.6968,0.4461***,0.0248,4
