label,time,error,filtered
aimai-nan,450264.00000000006,-11.142398487260545,False
bao-nan,2242746.0,-40.56141190802917,False
e2e-nan,10745734.0,-22.309457676925593,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,-6.214240285442227,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,-9.538429901342713,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,-22.092250161295485,False
llm-answerdotai-ModernBERT-base,3841881.69,-6.989537911146108,False
llm-bert-base-uncased,2305852.4699999997,-5.648409174757211,False
llm-google-gemma-3-12b-pt,21982625.19,-3.992480777873287,False
llm-google-gemma-3-1b-pt,5370103.69,-9.132432541430886,False
llm-google-gemma-3-4b-pt,9417391.37,-10.217889118527316,False
llm-meta-llama-Llama-3.1-8B,14374962.29,-8.622001520081152,False
llm-meta-llama-Llama-3.2-1B,4069344.64,-9.177428987494604,False
llm-meta-llama-Llama-3.2-3B,7758145.56,-0.874207738682425,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,-4.472699133743146,False
qf-nan,38684396.0,-4.752386813172476,False
postgres-nan,450264.00000000006,0.0,False
