metric,error,true_label,embedding,type_number
num_tables,-5.99e+11,0.2351***,-0.2505***,4
num_columns,0.0168,0.3363***,-0.2238***,4
num_joins,5.31e+11,0.6328***,-0.1385***,4
num_filters,0.0386,0.0187,-0.3354***,6
longest_path_len,0.0568,0.1338***,-0.3372***,4
num_nodes,0.096,0.2064***,-0.2929***,4
join_tree_diameter,0.0171,0.6199***,-0.1642***,4
num_blocking_ops,-0.0179,0.2660***,0.1013***,3
num_nested_loop,5.77e+11,-0.3127***,-0.1950***,6
max_est_join_input_rows,-0.0097,0.6765***,-0.0978***,4
sum_est_join_input_rows,0.0093,0.6779***,-0.0969***,4
num_highly_selective_filters,-0.0301,-0.6130***,0.1946***,5
log_filter_selectivity_product,-0.0133,0.5989***,-0.0071,4
optimizer_est_cost_root,-0.0163,0.9215***,0.0346*,4
log_max_est_rows,0.8798**,0.8339***,-0.0164,4
log_sum_est_rows,-0.7711*,0.8641***,-0.0536***,4
max_log_card_error,0.0867***,-0.1373***,-0.0333*,6
