metric,error,true_label,embedding,type_number
num_tables,-5.78e+11,0.2351***,-0.2523***,4
num_columns,-0.0172,0.3363***,-0.2258***,4
num_joins,5.12e+11,0.6328***,-0.1340***,4
num_filters,0.0351,0.0187,-0.3352***,6
longest_path_len,0.0295,0.1338***,-0.3328***,4
num_nodes,0.1591,0.2064***,-0.2905***,4
join_tree_diameter,0.0276,0.6199***,-0.1595***,4
num_blocking_ops,-0.0304,0.2660***,0.0974***,3
num_nested_loop,5.57e+11,-0.3127***,-0.2011***,6
max_est_join_input_rows,-0.0172,0.6765***,-0.0961***,4
sum_est_join_input_rows,0.0005,0.6779***,-0.0952***,4
num_highly_selective_filters,-0.0518,-0.6130***,0.1757***,5
log_filter_selectivity_product,-0.0137,0.5989***,0.0058,4
optimizer_est_cost_root,0.0075,0.9215***,0.0435**,4
log_max_est_rows,0.8567*,0.8339***,-0.0052,4
log_sum_est_rows,-0.7564*,0.8641***,-0.0431**,4
max_log_card_error,0.0873***,-0.1373***,-0.0363*,6
