label,time,error,filtered
llm-Qwen-Qwen3-Embedding-8B,72137255.95,1.145470109858753,False
llm-google-gemma-3-12b-pt,25998732.849999998,1.3571852063220302,False
llm-google-gemma-3-1b-pt,6970835.03,1.3426768757629082,False
llm-google-gemma-3-27b-pt,47449474.276666656,1.2869231622834134,False
llm-meta-llama-Llama-3.1-70B,117640416.36,1.3202707629872703,False
llm-meta-llama-Llama-3.1-8B,17159996.65,1.1892487436787622,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,1.3235998161094467,False
aimai-nan,550136.6666666666,1.4118863049095607,False
alece-nan,52693562.0,1.4520441971433555,False
bao-nan,3058020.0,1.5055500071336851,False
e2e-nan,13583576.666666666,1.70080689906628,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,1.767784277357683,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,1.4127455176677606,False
llm-answerdotai-ModernBERT-base,4909957.576666666,1.3991629809292814,False
llm-bert-base-uncased,3117254.3366666664,1.5831708438357033,False
llm-google-gemma-3-4b-pt,11608054.356666666,1.4791807358792664,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,1.4180561500293276,False
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,1.6495426515115488,False
mscn-nan,31276888.0,1.9721659453718239,False
price-nan,88866396.0,1.495753079374138,False
qf-nan,55283788.0,1.991598104024984,False
PostgreSQL,,1.3984083955549214,False
