algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
aimai_none,0,0,2,12,2,1,0,0,-0.2924***,-0.1962***
bao_none,0,0,7,7,3,0,0,0,0.1096***,-0.2067***
e2e_cost_none,0,0,13,1,0,3,0,0,0.2064***,-0.2275***
llm_Qwen-Qwen3-Embedding-0.6B,0,0,13,1,1,2,0,0,0.4771***,0.2830***
llm_Qwen-Qwen3-Embedding-4B,0,0,13,1,1,2,0,0,0.4771***,0.2550***
llm_Qwen-Qwen3-Embedding-8B,0,0,13,1,1,2,0,0,0.4771***,0.3450***
llm_answerdotai-ModernBERT-base,0,0,13,1,1,2,0,0,0.4695***,0.2400***
llm_bert-base-uncased,0,0,13,1,1,2,0,0,0.4514***,0.2766***
llm_google-gemma-3-12b-pt,0,0,13,1,1,2,0,0,0.4683***,0.2386***
llm_google-gemma-3-1b-pt,0,0,13,1,1,2,0,0,0.4683***,0.2749***
llm_google-gemma-3-4b-pt,0,0,13,1,1,2,0,0,0.4683***,0.3079***
llm_meta-llama-Llama-3.1-8B,0,0,13,1,1,2,0,0,0.4799***,0.3067***
llm_meta-llama-Llama-3.2-1B,0,0,13,1,1,2,0,0,0.4799***,0.2706***
llm_meta-llama-Llama-3.2-3B,0,0,13,1,1,2,0,0,0.4799***,0.2716***
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,13,1,1,2,0,0,0.4514***,0.2421***
qf_none,0,0,0,14,2,1,0,0,-0.0663***,-0.1937***
