algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
aimai_none,0,0,1,4,1,11,0,0,0.0225,-0.0752
bao_none,0,0,2,3,4,8,0,0,0.2698**,0.3129***
e2e_cost_none,0,0,0,5,0,12,0,0,-0.0339,-0.0959
llm_Qwen-Qwen3-Embedding-0.6B,0,0,0,5,3,9,0,0,0.3440***,0.1614
llm_Qwen-Qwen3-Embedding-4B,0,0,0,5,3,9,0,0,0.3440***,0.1282
llm_Qwen-Qwen3-Embedding-8B,0,0,0,5,3,9,0,0,0.3440***,0.3403***
llm_answerdotai-ModernBERT-base,0,0,0,5,3,9,0,0,0.3193***,0.0880
llm_bert-base-uncased,0,0,0,5,3,9,0,0,0.2794**,0.0748
llm_google-gemma-3-12b-pt,0,0,0,5,3,9,0,0,0.3196***,0.1365
llm_google-gemma-3-1b-pt,0,0,0,5,3,9,0,0,0.3193***,0.0967
llm_google-gemma-3-4b-pt,0,0,0,5,3,9,0,0,0.3196***,0.2692**
llm_meta-llama-Llama-3.1-8B,0,0,0,5,2,10,0,0,0.3507***,0.0342
llm_meta-llama-Llama-3.2-1B,0,0,0,5,2,10,0,0,0.3507***,0.2733**
llm_meta-llama-Llama-3.2-3B,0,0,0,5,2,10,0,0,0.3508***,0.0527
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,0,5,3,8,0,1,0.2794**,0.0840
qf_none,0,0,0,5,0,11,0,1,-0.3138***,0.6219***
