metric,error,true_label,embedding,type_number
num_tables,-3.032,0.2082,-0.0864,6
num_columns,0.2011,0.2649*,-0.0308,6
num_joins,-1.1516,0.7367***,0.2936*,4
num_filters,-0.3824,-0.2384*,-0.2985*,6
longest_path_len,-7.5875,0.1623,-0.1418,6
num_nodes,10.3551,0.2087,-0.1189,6
join_tree_diameter,1.4834,0.7444***,0.2396*,4
num_blocking_ops,-1.2032,0.3052*,0.1962,6
num_nested_loop,-1.1416,-0.3961***,-0.2737*,6
max_est_join_input_rows,-1.2619,0.7859***,0.3289**,4
sum_est_join_input_rows,0.6981,0.7969***,0.3468**,4
num_highly_selective_filters,-1.3336,-0.6924***,-0.1321,6
log_filter_selectivity_product,-0.3282,0.6851***,0.2175,4
optimizer_est_cost_root,0.4615,0.8709***,0.2773*,4
log_max_est_rows,16.8631,0.8622***,0.2914*,4
log_sum_est_rows,-17.6933,0.8677***,0.2959*,4
max_log_card_error,2.2183*,0.1789,0.1404,6
