algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
aimai_none,0,0,9,4,0,4,0,0,0.3954***,0.3685***
bao_none,4,0,2,7,1,3,0,0,-0.1599***,0.0584***
e2e_cost_none,4,0,4,5,1,3,0,0,0.0319*,0.6566***
llm_Qwen-Qwen3-Embedding-0.6B,0,0,2,11,1,3,0,0,0.0590***,0.0527***
llm_Qwen-Qwen3-Embedding-4B,0,0,2,11,1,3,0,0,0.0590***,0.0503***
llm_Qwen-Qwen3-Embedding-8B,0,0,2,11,1,3,0,0,0.0590***,0.0554***
llm_answerdotai-ModernBERT-base,0,0,1,12,1,3,0,0,0.0486***,0.0206
llm_bert-base-uncased,0,0,1,12,1,3,0,0,0.0384**,0.0112
llm_google-gemma-3-12b-pt,0,0,1,12,1,3,0,0,0.0465**,0.0290*
llm_google-gemma-3-1b-pt,0,0,1,12,1,3,0,0,0.0483***,0.0371**
llm_google-gemma-3-4b-pt,0,0,1,12,1,3,0,0,0.0473***,0.0373**
llm_meta-llama-Llama-3.1-8B,0,0,2,11,1,3,0,0,0.0587***,0.0439**
llm_meta-llama-Llama-3.2-1B,0,0,2,11,1,3,0,0,0.0587***,0.0417**
llm_meta-llama-Llama-3.2-3B,0,0,2,11,1,3,0,0,0.0593***,0.0486***
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,1,12,1,3,0,0,0.0384**,0.0105
qf_none,0,1,9,3,0,4,0,0,0.3940***,0.4298***
