label,time,error,filtered
aimai-nan,402364.0,2204189503.42,False
bao-nan,2328508.0,898845.41,False
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,6763854420644.46,False
llm-Qwen-Qwen3-Embedding-4B,34859036.12,105594673387430.88,False
llm-Qwen-Qwen3-Embedding-8B,63674670.27,11495497979.04,False
llm-bert-base-uncased,2339050.4699999997,1717397522370.38,False
llm-google-gemma-3-12b-pt,22014167.19,532333653450.27,False
llm-google-gemma-3-1b-pt,5300359.69,194541577134.89,False
llm-google-gemma-3-4b-pt,9419881.37,135090219467.99,False
llm-meta-llama-Llama-3.1-8B,14358866.29,5755309360139.97,False
llm-meta-llama-Llama-3.2-1B,4066730.64,98282042.76,False
llm-meta-llama-Llama-3.2-3B,7709599.56,110513925.5,False
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,2198718436972.71,False
qf-nan,38681444.0,2809916.07,False
postgres-nan,402364.0,8268375.15,False
e2e-nan,10163836.0,4.796151591558099e+20,True
llm-answerdotai-ModernBERT-base,3810215.69,1.4376612070931366e+16,True
