label,time,error,filtered
aimai-nan,550136.6666666666,734739694.4900001,False
bao-nan,3058020.0,319309.25666666665,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,3831866593.596667,False
llm-google-gemma-3-12b-pt,25998732.849999998,177444554933.3033,False
llm-google-gemma-3-1b-pt,6970835.03,64847204210.80667,False
llm-google-gemma-3-4b-pt,11608054.356666666,45030089194.43667,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,32763473.453333337,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,36841974.21333333,False
qf-nan,55283788.0,1070305.6066666667,False
postgres-nan,550136.6666666666,2771407.29,False
e2e-nan,13583576.666666666,1.5987171971860336e+20,True
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,2254618142617.7534,True
llm-Qwen-Qwen3-Embedding-4B,39580658.5,35198224522556.22,True
llm-answerdotai-ModernBERT-base,4909957.576666666,4792204023659057.0,True
llm-bert-base-uncased,3117254.3366666664,572465862782.2599,True
llm-meta-llama-Llama-3.1-8B,17159996.65,1918436456385.5999,True
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,732906390501.7267,True
