label,time,error,filtered
bao-nan,3233028.0,2.553550724637682,False
e2e-nan,15591185.999999998,0.9719757468204676,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,0.11961468071425052,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,1.1107892215938941,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,-0.007259552042160666,False
llm-answerdotai-ModernBERT-base,5484879.52,1.1010225615243772,False
llm-bert-base-uncased,3472121.27,0.07119691902300596,False
llm-google-gemma-3-12b-pt,27973710.68,0.11961468071425052,False
llm-google-gemma-3-1b-pt,7868150.7,0.11276553504069886,False
llm-google-gemma-3-4b-pt,12701833.85,-0.11181909045477267,False
llm-meta-llama-Llama-3.1-8B,18581402.83,0.6504958047292145,False
llm-meta-llama-Llama-3.2-1B,5556681.94,0.40806963382214234,False
llm-meta-llama-Llama-3.2-3B,10626735.65,1.4087392394028555,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,0.40806963382214234,False
qf-nan,56717454.0,2.291666666666667,False
postgres-nan,2103016.85,0.0,False
aimai-nan,622930.0,139.56167565668116,True
