label,time,error,filtered
aimai-nan,594672.0,-0.9510391401531367,False
bao-nan,3530356.0,-0.1870196272472373,False
e2e-nan,14737320.000000002,0.1494618258881265,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,0.03839125180534675,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,0.25511283964335796,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,-0.7715806070161609,False
llm-answerdotai-ModernBERT-base,5501065.52,-0.2835686600221482,False
llm-bert-base-uncased,3502641.27,-0.09529211571185492,False
llm-google-gemma-3-12b-pt,27979148.68,-0.38568621028496586,False
llm-google-gemma-3-1b-pt,7826370.7,-0.1870196272472373,False
llm-google-gemma-3-4b-pt,12652429.85,0.7825765965300848,False
llm-meta-llama-Llama-3.1-8B,18531428.83,-0.4639629419550013,False
llm-meta-llama-Llama-3.2-1B,5503169.94,-0.43418306499701853,False
llm-meta-llama-Llama-3.2-3B,10615361.65,-0.0871700718701941,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,-0.17849165681250845,False
qf-nan,63045900.0,0.5097132716914167,False
mscn-nan,226519461.6,-0.7005337399923751,False
alece-nan,67225366.0,0.03839125180534675,False
price-nan,69512582.0,-0.4841142551647767,False
postgres-nan,594672.0,0.0,False
