label,time,error,filtered
bao-nan,3058020.0,-2.57512856624895,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,-0.2932459735313196,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,1.5128037593952577,False
mscn-nan,205770978.53333333,-13.309623419850881,False
price-nan,88866396.0,-1531.7292756914214,False
qf-nan,55283788.0,1.9574268095439837,False
postgres-nan,3058020.0,0.0,False
aimai-nan,550136.6666666666,88.20470899214104,True
alece-nan,52693562.0,2369029.876838999,True
e2e-nan,13583576.666666666,19335324875604.016,True
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,272675.9004909822,True
llm-Qwen-Qwen3-Embedding-4B,39580658.5,4256974.781965873,True
llm-Qwen-Qwen3-Embedding-8B,72137255.95,464.9246580983713,True
llm-answerdotai-ModernBERT-base,4909957.576666666,579582316.8764942,True
llm-bert-base-uncased,3117254.3366666664,69236.54539349729,True
llm-google-gemma-3-12b-pt,25998732.849999998,21455.319160226503,True
llm-google-gemma-3-1b-pt,6970835.03,7842.671495796737,True
llm-google-gemma-3-4b-pt,11608054.356666666,5446.385582497455,True
llm-meta-llama-Llama-3.1-8B,17159996.65,232013.09221200543,True
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,88648.2011677156,True
