label,time,error,filtered
bao-nan,2328508.0,-9.090175711969257,False
qf-nan,38681444.0,-2.6027311824041997,False
mscn-nan,158214268.0,-8.13756683845535,False
alece-nan,23531452.0,-1090.7633816939115,False
price-nan,127574024.0,-4555.82938543792,False
postgres-nan,2328508.0,0.0,False
aimai-nan,402364.0,266.57698121232994,True
e2e-nan,10163836.0,58005974626805.59,True
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,818039.1307758153,True
llm-Qwen-Qwen3-Embedding-4B,34859036.12,12770909.818651639,True
llm-Qwen-Qwen3-Embedding-8B,63674670.27,1390.2963790702968,True
llm-answerdotai-ModernBERT-base,3810215.69,1738746949.68713,True
llm-bert-base-uncased,2339050.4699999997,207706.77323833958,True
llm-google-gemma-3-12b-pt,22014167.19,64381.894104290004,True
llm-google-gemma-3-1b-pt,5300359.69,23528.392610907216,True
llm-google-gemma-3-4b-pt,9419881.37,16338.182110896745,True
llm-meta-llama-Llama-3.1-8B,14358866.29,696062.9211566544,True
llm-meta-llama-Llama-3.2-1B,4066730.64,11.802371133543422,True
llm-meta-llama-Llama-3.2-3B,7709599.56,13.291040184293175,True
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,265919.04661481356,True
