metric,error,true_label,embedding,type_number
num_tables,0.4693,-0.1979*,-0.0737,6
num_columns,-0.4125,-0.0514,0.0707,6
num_joins,-0.1226,-0.0340,-0.0471,6
num_filters,0.2608,-0.0438,0.0606,6
longest_path_len,0.0433,-0.2689***,-0.1277,6
num_nodes,-0.2811,-0.0283,-0.0292,6
join_tree_diameter,-0.2126,-0.0752,-0.0254,6
num_blocking_ops,0.2574,0.0648,-0.0329,6
num_nested_loop,-0.0039,-0.2049*,-0.0017,6
max_est_join_input_rows,-0.2788,-0.0313,-0.0424,6
sum_est_join_input_rows,0.4951,-0.0285,-0.0489,6
num_highly_selective_filters,-0.0665,-0.2021*,-0.1381,6
log_filter_selectivity_product,0.0149,0.1285,0.1066,6
optimizer_est_cost_root,0.0896,0.1117,0.0152,6
log_max_est_rows,0.1854,0.0337,0.0442,6
log_sum_est_rows,-0.3844,0.0820,0.0672,6
max_log_card_error,0.1815,-0.0463,0.1110,6
