metric,error,true_label,embedding,type_number
num_tables,0.8206,0.3250***,0.1555***,3
num_columns,0.2789,0.3679***,0.1767***,3
num_joins,1.2353,0.7482***,0.2670***,3
num_filters,0.9307*,-0.3352***,-0.2556***,6
longest_path_len,-1.1209,0.1300***,-0.1490***,4
num_nodes,0.1843,0.2821***,0.0073,4
join_tree_diameter,0.1065,0.6008***,0.0706,4
num_blocking_ops,0.0127,0.4185***,0.3190***,3
num_nested_loop,-0.4411,-0.4349***,-0.1277***,6
max_est_join_input_rows,1.1592,0.7583***,0.3505***,3
sum_est_join_input_rows,-1.771,0.7984***,0.3889***,3
num_highly_selective_filters,0.2055,-0.6167***,0.0510,6
log_filter_selectivity_product,0.4623,0.6043***,0.1730***,3
optimizer_est_cost_root,-0.151,0.8869***,0.3615***,3
log_max_est_rows,12.8495***,0.8839***,0.3915***,2
log_sum_est_rows,-13.5587***,0.8974***,0.4025***,2
max_log_card_error,1.94***,0.1928***,0.2962***,2
